block_time,direction,shares
2026-02-28 00:00:00.000 UTC,NO,18593.593752
2026-02-28 00:00:00.000 UTC,YES,6238.81
2026-02-28 01:00:00.000 UTC,NO,22213.193858000002
2026-02-28 01:00:00.000 UTC,YES,5284.569737
2026-02-28 02:00:00.000 UTC,NO,7810.4961619999995
2026-02-28 02:00:00.000 UTC,YES,12102.973138000001
2026-02-28 03:00:00.000 UTC,NO,2562.099287
2026-02-28 03:00:00.000 UTC,YES,11938.612457
2026-02-28 04:00:00.000 UTC,NO,1806.4842130000002
2026-02-28 04:00:00.000 UTC,YES,2737.452497
2026-02-28 05:00:00.000 UTC,NO,10626.257526
2026-02-28 05:00:00.000 UTC,YES,45629.568892
2026-02-28 06:00:00.000 UTC,NO,171787.067655
2026-02-28 06:00:00.000 UTC,YES,238982.757423
2026-02-28 07:00:00.000 UTC,NO,156475.801661
2026-02-28 07:00:00.000 UTC,YES,53748.245044
2026-02-28 08:00:00.000 UTC,NO,68282.345
2026-02-28 08:00:00.000 UTC,YES,3824.9300000000003
2026-02-28 09:00:00.000 UTC,NO,38357.59
